Fecha,Producto,Categoría,Cantidad,Precio Unitario,Total Venta
2024-04-12,Pantalón,Verano,1,35,35
2025-03-11,Vestido,Deportiva,3,50,150
2024-12-14,Zapatillas,Deportiva,3,80,240
2024-09-27,Pantalón,Invierno,1,35,35
2024-04-16,Pantalón,Casual,2,35,70
2024-03-12,Pantalón,Casual,4,35,140
2024-07-07,Remera,Invierno,2,20,40
2024-01-21,Gorra,Verano,2,15,30
2024-04-12,Remera,Casual,2,20,40
2024-05-01,Remera,Deportiva,1,20,20
2025-04-11,Zapatillas,Casual,3,80,240
2024-08-02,Short,Deportiva,2,25,50
2024-11-26,Gorra,Verano,1,15,15
2025-04-03,Vestido,Invierno,2,50,100
2024-03-28,Buzo,Casual,2,60,120
2025-01-07,Pantalón,Invierno,1,35,35
2024-04-09,Vestido,Casual,3,50,150
2024-12-25,Pantalón,Deportiva,3,35,105
2024-05-31,Zapatillas,Invierno,4,80,320
2024-05-10,Pantalón,Casual,1,35,35
2024-05-29,Remera,Deportiva,4,20,80
2024-11-04,Gorra,Invierno,4,15,60
2024-09-14,Buzo,Invierno,4,60,240
2024-12-09,Campera,Casual,3,100,300
2025-05-06,Pantalón,Casual,1,35,35
2025-02-17,Vestido,Casual,4,50,200
2024-10-20,Remera,Deportiva,1,20,20
2025-01-20,Campera,Casual,1,100,100
2024-07-10,Buzo,Invierno,3,60,180
2025-03-19,Campera,Invierno,4,100,400
2024-10-03,Remera,Casual,4,20,80
2024-06-09,Gorra,Casual,1,15,15
2025-04-04,Gorra,Verano,2,15,30
2024-11-09,Short,Invierno,3,25,75
2024-01-22,Gorra,Deportiva,3,15,45
2024-09-09,Short,Verano,3,25,75
2024-08-23,Campera,Casual,3,100,300
2024-12-10,Zapatillas,Casual,4,80,320
2024-02-18,Vestido,Invierno,4,50,200
2025-04-19,Vestido,Casual,2,50,100
2024-02-28,Campera,Deportiva,3,100,300
2024-06-18,Pantalón,Invierno,3,35,105
2025-04-20,Pantalón,Casual,1,35,35
2024-07-06,Gorra,Invierno,4,15,60
2025-04-08,Vestido,Casual,3,50,150
2024-09-27,Vestido,Casual,2,50,100
2024-07-08,Short,Casual,2,25,50
2025-03-21,Zapatillas,Deportiva,4,80,320
2024-06-23,Remera,Deportiva,2,20,40
2025-03-21,Pantalón,Invierno,2,35,70
2024-02-20,Vestido,Casual,4,50,200
2024-12-29,Short,Casual,3,25,75
2024-02-24,Buzo,Deportiva,3,60,180
2024-08-31,Short,Casual,2,25,50
2024-11-15,Pantalón,Deportiva,2,35,70
2024-05-10,Pantalón,Casual,3,35,105
2025-04-29,Short,Invierno,4,25,100
2024-11-02,Remera,Casual,2,20,40
2024-05-14,Campera,Casual,1,100,100
2024-01-21,Pantalón,Verano,4,35,140
2024-11-24,Short,Deportiva,2,25,50
2024-06-15,Vestido,Casual,2,50,100
2024-09-30,Short,Casual,1,25,25
2025-01-22,Zapatillas,Verano,1,80,80
2024-03-29,Campera,Verano,3,100,300
2024-11-11,Buzo,Deportiva,4,60,240
2024-01-14,Remera,Verano,4,20,80
2024-08-29,Gorra,Invierno,3,15,45
2024-09-21,Buzo,Verano,4,60,240
2024-12-11,Campera,Invierno,4,100,400
2024-02-22,Campera,Deportiva,4,100,400
2025-01-20,Campera,Deportiva,4,100,400
2024-12-05,Buzo,Deportiva,4,60,240
2024-04-01,Vestido,Deportiva,1,50,50
2025-01-01,Campera,Deportiva,4,100,400
2025-03-19,Short,Invierno,1,25,25
2025-03-30,Buzo,Invierno,4,60,240
2025-03-03,Gorra,Deportiva,3,15,45
2024-09-20,Campera,Verano,2,100,200
2025-03-06,Short,Casual,1,25,25
2024-02-04,Vestido,Deportiva,4,50,200
2024-07-24,Zapatillas,Verano,3,80,240
2024-03-21,Vestido,Casual,2,50,100
2025-02-23,Gorra,Deportiva,1,15,15
2024-02-19,Campera,Deportiva,2,100,200
2024-12-25,Gorra,Invierno,3,15,45
2025-01-22,Buzo,Casual,1,60,60
2024-01-02,Pantalón,Casual,2,35,70
2025-01-24,Campera,Verano,4,100,400
2024-02-23,Pantalón,Invierno,1,35,35
2024-04-15,Short,Invierno,2,25,50
2024-09-16,Zapatillas,Invierno,3,80,240
2024-11-05,Remera,Invierno,3,20,60
2025-04-21,Gorra,Casual,1,15,15
2024-07-09,Vestido,Casual,2,50,100
2025-02-05,Zapatillas,Deportiva,1,80,80
2024-08-05,Campera,Deportiva,1,100,100
2024-02-13,Pantalón,Invierno,2,35,70
2024-06-10,Vestido,Invierno,2,50,100
2024-07-20,Pantalón,Invierno,4,35,140
2025-03-21,Buzo,Deportiva,2,60,120
2025-04-28,Pantalón,Verano,3,35,105
2024-09-26,Buzo,Verano,1,60,60
2024-12-16,Short,Deportiva,1,25,25
2024-10-30,Vestido,Deportiva,3,50,150
2024-09-27,Vestido,Deportiva,2,50,100
2025-03-31,Remera,Deportiva,3,20,60
2025-04-06,Campera,Deportiva,3,100,300
2024-08-02,Buzo,Deportiva,4,60,240
2024-09-08,Remera,Invierno,3,20,60
2024-07-08,Pantalón,Invierno,1,35,35
2024-10-22,Pantalón,Invierno,3,35,105
2024-07-31,Remera,Invierno,1,20,20
2024-07-26,Vestido,Deportiva,1,50,50
2024-08-24,Pantalón,Verano,1,35,35
2024-12-03,Gorra,Casual,2,15,30
2025-01-01,Short,Deportiva,4,25,100
2024-02-22,Short,Casual,1,25,25
2024-10-06,Gorra,Verano,1,15,15
2025-02-13,Remera,Invierno,2,20,40
2024-08-04,Gorra,Verano,1,15,15
2024-09-08,Buzo,Deportiva,3,60,180
2024-07-06,Buzo,Invierno,3,60,180
2025-01-14,Remera,Deportiva,4,20,80
2025-05-07,Gorra,Invierno,1,15,15
2024-02-10,Buzo,Casual,2,60,120
2024-06-05,Vestido,Casual,3,50,150
2024-01-15,Gorra,Casual,2,15,30
2024-10-27,Vestido,Verano,2,50,100
2024-03-05,Buzo,Deportiva,3,60,180
2024-12-10,Short,Verano,2,25,50
2024-11-22,Buzo,Casual,3,60,180
2024-01-09,Vestido,Deportiva,2,50,100
2024-12-09,Zapatillas,Casual,3,80,240
2024-05-08,Campera,Verano,1,100,100
2025-05-06,Pantalón,Verano,4,35,140
2024-05-15,Gorra,Verano,3,15,45
2025-04-16,Zapatillas,Casual,3,80,240
2024-03-03,Buzo,Deportiva,4,60,240
2024-05-18,Short,Deportiva,3,25,75
2025-05-13,Remera,Casual,3,20,60
2024-03-21,Buzo,Deportiva,2,60,120
2025-01-26,Short,Casual,4,25,100
2024-06-11,Campera,Deportiva,1,100,100
2025-02-22,Buzo,Invierno,3,60,180
2024-10-15,Vestido,Invierno,4,50,200
2025-01-13,Remera,Verano,2,20,40
2024-09-17,Short,Invierno,1,25,25
2025-05-04,Short,Invierno,4,25,100
2024-08-18,Short,Invierno,1,25,25
2024-02-10,Campera,Casual,1,100,100
2024-01-28,Buzo,Invierno,1,60,60
2024-05-14,Campera,Invierno,3,100,300
2024-07-19,Gorra,Verano,3,15,45
2024-11-23,Pantalón,Invierno,2,35,70
2024-09-24,Pantalón,Invierno,2,35,70
2025-02-21,Gorra,Deportiva,4,15,60
2024-02-02,Buzo,Verano,2,60,120
2024-02-17,Vestido,Verano,1,50,50
2025-02-10,Campera,Verano,1,100,100
2024-03-02,Remera,Verano,3,20,60
2024-08-03,Short,Verano,1,25,25
2024-10-19,Short,Verano,4,25,100
2024-04-08,Buzo,Casual,1,60,60
2024-06-20,Vestido,Invierno,1,50,50
2024-12-25,Pantalón,Verano,4,35,140
2024-08-01,Pantalón,Invierno,2,35,70
2025-04-19,Short,Invierno,2,25,50
2024-02-04,Buzo,Casual,4,60,240
2025-03-24,Campera,Verano,3,100,300
2024-08-14,Pantalón,Deportiva,1,35,35
2024-04-10,Campera,Casual,4,100,400
2025-03-06,Vestido,Deportiva,1,50,50
2025-04-06,Pantalón,Invierno,3,35,105
2024-05-10,Pantalón,Invierno,1,35,35
2024-09-13,Zapatillas,Casual,4,80,320
2024-01-05,Pantalón,Casual,1,35,35
2024-08-05,Gorra,Deportiva,2,15,30
2024-09-11,Remera,Verano,3,20,60
2025-02-01,Gorra,Deportiva,3,15,45
2024-12-24,Buzo,Casual,3,60,180
2024-10-09,Buzo,Deportiva,4,60,240
2025-01-27,Campera,Casual,3,100,300
2024-07-25,Gorra,Deportiva,2,15,30
2024-01-15,Gorra,Casual,4,15,60
2024-12-11,Gorra,Casual,2,15,30
2024-02-11,Vestido,Casual,1,50,50
2025-01-14,Pantalón,Verano,1,35,35
2025-04-05,Remera,Deportiva,1,20,20
2024-06-27,Campera,Deportiva,1,100,100
2024-03-03,Gorra,Deportiva,2,15,30
2024-12-17,Gorra,Casual,4,15,60
2024-08-18,Zapatillas,Deportiva,4,80,320
2024-08-28,Campera,Deportiva,3,100,300
2024-02-21,Gorra,Casual,2,15,30
2024-04-05,Campera,Invierno,1,100,100
2025-01-22,Pantalón,Casual,2,35,70
2024-08-09,Zapatillas,Deportiva,3,80,240
2025-04-29,Campera,Casual,3,100,300
2025-02-10,Remera,Invierno,2,20,40
2024-08-18,Remera,Casual,2,20,40
2024-08-24,Buzo,Deportiva,2,60,120
2024-05-22,Zapatillas,Invierno,4,80,320
2024-06-19,Zapatillas,Verano,1,80,80
2024-01-29,Buzo,Deportiva,2,60,120
2024-02-05,Campera,Invierno,2,100,200
2024-01-13,Zapatillas,Invierno,2,80,160
2024-06-08,Remera,Verano,3,20,60
2024-11-22,Remera,Casual,3,20,60
2024-07-05,Gorra,Casual,4,15,60
2024-08-30,Pantalón,Deportiva,1,35,35
2024-03-26,Zapatillas,Verano,4,80,320
2024-10-10,Campera,Casual,1,100,100
2024-03-06,Buzo,Verano,3,60,180
2024-06-18,Buzo,Casual,3,60,180
2024-02-14,Campera,Invierno,3,100,300
2024-03-02,Vestido,Casual,4,50,200
2025-03-16,Short,Verano,2,25,50
2024-05-13,Pantalón,Invierno,2,35,70
2024-10-10,Buzo,Invierno,3,60,180
2024-01-28,Zapatillas,Invierno,2,80,160
2024-04-17,Pantalón,Verano,2,35,70
2024-02-13,Zapatillas,Deportiva,4,80,320
2024-12-05,Vestido,Deportiva,1,50,50
2024-10-12,Remera,Deportiva,3,20,60
2025-03-21,Pantalón,Verano,3,35,105
2024-11-26,Gorra,Invierno,4,15,60
2024-05-07,Buzo,Deportiva,4,60,240
2024-12-13,Pantalón,Verano,2,35,70
2025-04-17,Pantalón,Deportiva,3,35,105
2024-08-18,Pantalón,Casual,1,35,35
2024-07-08,Short,Deportiva,4,25,100
2024-08-12,Pantalón,Deportiva,1,35,35
2025-01-19,Zapatillas,Invierno,1,80,80
2025-01-11,Remera,Verano,3,20,60
2024-10-09,Vestido,Invierno,3,50,150
2025-03-21,Campera,Invierno,4,100,400
2024-04-30,Pantalón,Invierno,3,35,105
2024-04-25,Buzo,Invierno,3,60,180
2025-04-05,Pantalón,Invierno,3,35,105
2024-08-20,Buzo,Deportiva,1,60,60
2024-09-15,Zapatillas,Invierno,4,80,320
2024-12-24,Buzo,Invierno,2,60,120
2024-07-16,Gorra,Verano,1,15,15
2025-03-31,Campera,Casual,3,100,300
2025-02-14,Remera,Deportiva,1,20,20
2024-05-16,Buzo,Deportiva,3,60,180
2024-11-13,Buzo,Deportiva,3,60,180
2024-06-13,Remera,Invierno,1,20,20
2024-08-12,Campera,Invierno,4,100,400
2024-11-02,Pantalón,Invierno,3,35,105
2024-08-21,Buzo,Verano,4,60,240
2024-06-20,Remera,Casual,2,20,40
2024-05-31,Gorra,Invierno,3,15,45
2025-04-07,Gorra,Casual,4,15,60
2024-11-10,Zapatillas,Verano,4,80,320
2025-01-08,Remera,Deportiva,2,20,40
2024-06-08,Zapatillas,Invierno,4,80,320
2024-04-05,Gorra,Casual,4,15,60
2025-04-16,Campera,Casual,2,100,200
2024-08-20,Pantalón,Invierno,3,35,105
2024-06-28,Remera,Deportiva,4,20,80
2024-04-22,Vestido,Deportiva,4,50,200
2024-11-13,Gorra,Deportiva,4,15,60
2025-05-11,Gorra,Verano,1,15,15
2025-03-17,Vestido,Casual,2,50,100
2024-02-21,Short,Casual,1,25,25
2024-09-24,Gorra,Casual,2,15,30
2024-10-21,Buzo,Verano,3,60,180
2025-01-20,Campera,Casual,3,100,300
2025-01-21,Remera,Verano,4,20,80
2024-04-22,Vestido,Deportiva,2,50,100
2024-04-10,Buzo,Invierno,3,60,180
2024-04-22,Vestido,Casual,2,50,100
2025-03-15,Remera,Casual,3,20,60
2024-03-21,Zapatillas,Deportiva,1,80,80
2024-07-05,Remera,Invierno,3,20,60
2024-04-22,Short,Verano,1,25,25
2024-01-02,Remera,Invierno,3,20,60
2024-05-09,Remera,Deportiva,4,20,80
2024-08-07,Short,Deportiva,1,25,25
2024-02-23,Campera,Invierno,3,100,300
2024-12-08,Gorra,Verano,4,15,60
2025-04-29,Remera,Verano,1,20,20
2024-08-11,Short,Casual,4,25,100
2024-08-12,Buzo,Verano,2,60,120
2025-01-19,Zapatillas,Invierno,2,80,160
2025-02-06,Zapatillas,Deportiva,1,80,80
2024-05-05,Remera,Casual,3,20,60
2024-05-09,Campera,Casual,1,100,100
2024-02-22,Campera,Deportiva,4,100,400
2024-06-20,Buzo,Verano,3,60,180
2024-08-05,Remera,Deportiva,2,20,40
2024-06-08,Zapatillas,Verano,3,80,240
2024-07-16,Campera,Deportiva,2,100,200
2025-02-19,Remera,Invierno,3,20,60
2024-09-03,Vestido,Verano,3,50,150
2024-11-19,Campera,Invierno,3,100,300
2025-03-14,Short,Casual,4,25,100
2024-07-21,Vestido,Deportiva,4,50,200
2024-07-02,Gorra,Casual,1,15,15
2024-05-02,Campera,Casual,1,100,100
2025-02-04,Zapatillas,Casual,2,80,160
2024-09-11,Pantalón,Casual,4,35,140
2024-10-20,Vestido,Deportiva,2,50,100
2024-10-06,Gorra,Casual,1,15,15
2024-11-20,Buzo,Deportiva,2,60,120
2025-01-06,Buzo,Deportiva,1,60,60
2024-04-07,Zapatillas,Invierno,4,80,320
2024-07-16,Campera,Verano,3,100,300
2025-04-14,Remera,Verano,4,20,80
2025-01-29,Campera,Deportiva,2,100,200
2024-08-27,Zapatillas,Invierno,2,80,160
2024-05-23,Buzo,Deportiva,4,60,240
2024-04-06,Campera,Deportiva,4,100,400
2024-07-19,Buzo,Deportiva,1,60,60
2024-05-03,Vestido,Invierno,2,50,100
2024-07-05,Gorra,Verano,2,15,30
2024-11-21,Remera,Invierno,4,20,80
2025-04-08,Vestido,Casual,3,50,150
2024-12-14,Buzo,Invierno,2,60,120
2024-09-15,Buzo,Invierno,3,60,180
2024-05-27,Pantalón,Invierno,4,35,140
2024-09-08,Pantalón,Invierno,4,35,140
2025-03-18,Vestido,Verano,1,50,50
2025-02-23,Short,Casual,2,25,50
2025-02-06,Vestido,Verano,3,50,150
2024-12-11,Pantalón,Verano,1,35,35
2025-03-26,Buzo,Invierno,2,60,120
2024-05-26,Zapatillas,Deportiva,1,80,80
2024-05-27,Vestido,Deportiva,4,50,200
2024-12-17,Buzo,Verano,2,60,120
2024-07-17,Zapatillas,Verano,1,80,80
2024-11-03,Zapatillas,Invierno,1,80,80
